phi0_omega_k,phi1_u_k,y_omega_k1
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,-0.04000000,0.00000000
0.00000000,-0.08000000,0.62831855
0.62831855,-0.12000000,1.25663710
1.25663710,-0.16000000,2.51327419
2.51327419,-0.19999999,3.14159274
3.14159274,-0.23999998,5.02654839
5.02654839,-0.27999997,5.65486670
5.65486670,-0.31999996,6.28318548
6.28318548,-0.35999995,7.53982306
7.53982306,-0.39999995,7.53982306
7.53982306,-0.43999994,8.16814041
8.16814041,-0.47999993,8.79645920
8.79645920,-0.51999992,8.79645920
8.79645920,-0.55000001,9.42477798
9.42477798,-0.55000001,9.42477798
9.42477798,-0.55000001,9.42477798
9.42477798,-0.55000001,9.42477798
9.42477798,-0.55000001,10.05309677
10.05309677,-0.55000001,9.42477798
9.42477798,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,9.42477798
9.42477798,-0.55000001,9.42477798
9.42477798,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,9.42477798
9.42477798,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,9.42477798
9.42477798,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,9.42477798
9.42477798,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,9.42477798
9.42477798,-0.50999999,10.05309677
10.05309677,-0.47000000,9.42477798
9.42477798,-0.43000001,8.79645920
8.79645920,-0.39000002,8.79645920
8.79645920,-0.35000002,8.16814041
8.16814041,-0.31000003,7.53982306
7.53982306,-0.27000004,6.91150427
6.91150427,-0.23000005,6.91150427
6.91150427,-0.19000006,5.65486670
5.65486670,-0.15000007,4.39822960
4.39822960,-0.11000007,3.76991153
3.76991153,-0.07000007,2.51327419
2.51327419,-0.03000007,1.25663710
1.25663710,0.00999993,0.00000000
0.00000000,0.04999993,-1.25663710
-1.25663710,0.08999993,-1.88495576
-1.88495576,0.12999994,-1.88495576
-1.88495576,0.16999993,-3.14159274
-3.14159274,0.20999992,-3.14159274
-3.14159274,0.24999991,-5.02654839
-5.02654839,0.28999990,-6.28318548
-6.28318548,0.32999989,-6.28318548
-6.28318548,0.36999989,-8.16814041
-8.16814041,0.40999988,-7.53982306
-7.53982306,0.44999987,-8.16814041
-8.16814041,0.48999986,-8.79645920
-8.79645920,0.52999985,-8.79645920
-8.79645920,0.55000001,-9.42477798
-9.42477798,0.55000001,-8.79645920
-8.79645920,0.55000001,-9.42477798
-9.42477798,0.55000001,-9.42477798
-9.42477798,0.55000001,-10.05309677
-10.05309677,0.55000001,-9.42477798
-9.42477798,0.55000001,-9.42477798
-9.42477798,0.55000001,-10.05309677
-10.05309677,0.55000001,-9.42477798
-9.42477798,0.55000001,-9.42477798
-9.42477798,0.55000001,-10.05309677
-10.05309677,0.55000001,-9.42477798
-9.42477798,0.55000001,-10.05309677
-10.05309677,0.55000001,-10.05309677
-10.05309677,0.55000001,-9.42477798
-9.42477798,0.55000001,-9.42477798
-9.42477798,0.55000001,-10.05309677
-10.05309677,0.50999999,-10.05309677
-10.05309677,0.47000000,-8.79645920
-8.79645920,0.43000001,-9.42477798
-9.42477798,0.39000002,-8.79645920
-8.79645920,0.35000002,-7.53982306
-7.53982306,0.31000003,-8.16814041
-8.16814041,0.27000004,-6.91150427
-6.91150427,0.23000005,-6.91150427
-6.91150427,0.19000006,-5.65486670
-5.65486670,0.15000007,-5.02654839
-5.02654839,0.11000007,-3.76991153
-3.76991153,0.07000007,-1.88495576
-1.88495576,0.03000007,-1.88495576
-1.88495576,-0.00999993,-1.25663710
-1.25663710,-0.04999993,0.00000000
0.00000000,-0.08999993,0.62831855
0.62831855,-0.12999994,1.25663710
1.25663710,-0.16999993,1.88495576
1.88495576,-0.20999992,3.76991153
3.76991153,-0.24999991,4.39822960
4.39822960,-0.28999990,6.28318548
6.28318548,-0.32999989,6.91150427
6.91150427,-0.36999989,7.53982306
7.53982306,-0.40999988,7.53982306
7.53982306,-0.44999987,8.79645920
8.79645920,-0.48999986,8.16814041
8.16814041,-0.52999985,9.42477798
9.42477798,-0.56999987,9.42477798
9.42477798,-0.60999990,10.05309677
10.05309677,-0.64999992,10.05309677
10.05309677,-0.68999994,10.68141556
10.68141556,-0.72999996,10.68141556
10.68141556,-0.76999998,11.30973339
11.30973339,-0.81000000,6.91150427
6.91150427,-0.85000002,3.14159274
3.14159274,-0.85000002,1.88495576
1.88495576,-0.85000002,6.28318548
6.28318548,-0.85000002,10.05309677
10.05309677,-0.85000002,11.30973339
11.30973339,-0.85000002,11.93805218
11.93805218,-0.81000000,12.56637096
12.56637096,-0.76999998,11.93805218
11.93805218,-0.72999996,10.05309677
10.05309677,-0.68999994,4.39822960
4.39822960,-0.64999992,2.51327419
2.51327419,-0.60999990,3.14159274
3.14159274,-0.56999987,7.53982306
7.53982306,-0.52999985,8.79645920
8.79645920,-0.48999986,9.42477798
9.42477798,-0.44999987,9.42477798
9.42477798,-0.40999988,8.79645920
8.79645920,-0.36999989,8.16814041
8.16814041,-0.32999989,8.16814041
8.16814041,-0.28999990,7.53982306
7.53982306,-0.24999991,6.91150427
6.91150427,-0.20999992,5.65486670
5.65486670,-0.16999993,5.65486670
5.65486670,-0.12999994,3.76991153
3.76991153,-0.08999994,3.76991153
3.76991153,-0.04999994,1.88495576
1.88495576,-0.00999994,0.00000000
0.00000000,0.00000000,-1.25663710
-1.25663710,0.00000000,-0.62831855
-0.62831855,0.00000000,0.00000000
0.00000000,0.00000000,-0.62831855
-0.62831855,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.04000000,0.00000000
0.00000000,0.08000000,-0.62831855
-0.62831855,0.12000000,-1.25663710
-1.25663710,0.16000000,-2.51327419
-2.51327419,0.19999999,-3.14159274
-3.14159274,0.23999998,-4.39822960
-4.39822960,0.27999997,-6.28318548
-6.28318548,0.31999996,-6.28318548
-6.28318548,0.35999995,-7.53982306
-7.53982306,0.39999995,-7.53982306
-7.53982306,0.43999994,-8.79645920
-8.79645920,0.47999993,-8.16814041
-8.16814041,0.51999992,-8.79645920
-8.79645920,0.55999994,-9.42477798
-9.42477798,0.59999996,-9.42477798
-9.42477798,0.63999999,-10.05309677
-10.05309677,0.68000001,-10.68141556
-10.68141556,0.72000003,-10.68141556
-10.68141556,0.76000005,-10.68141556
-10.68141556,0.80000007,-11.30973339
-11.30973339,0.84000009,-7.53982306
-7.53982306,0.85000002,-3.14159274
-3.14159274,0.85000002,-1.88495576
-1.88495576,0.85000002,-6.91150427
-6.91150427,0.85000002,-10.05309677
-10.05309677,0.85000002,-11.93805218
-11.93805218,0.85000002,-11.93805218
-11.93805218,0.85000002,-12.56637096
-12.56637096,0.85000002,-11.93805218
-11.93805218,0.85000002,-8.79645920
-8.79645920,0.85000002,-4.39822960
-4.39822960,0.85000002,-1.88495576
-1.88495576,0.85000002,-5.02654839
-5.02654839,0.81000000,-9.42477798
-9.42477798,0.76999998,-11.30973339
-11.30973339,0.72999996,-11.30973339
-11.30973339,0.68999994,-11.30973339
-11.30973339,0.64999992,-10.68141556
-10.68141556,0.60999990,-11.30973339
